year,semi_final,semi_draw_position,final_draw_position,country,artist_name,song_name,language,style,gender,key,BPM,qualified_10,Rank
2021,2,9,8,Serbia,Hurricane,Loco Loco,Serbian,Pop,Female,C Major,105,1,
2021,2,10,-,Georgia,Tornike Kipiani,You,English,Ballad,Male,C Major,134,0,
2021,2,11,2,Albania,Anxhela Peristeri,Karma,Albanian,Ballad,Female,G Minor,150,1,
2021,2,12,7,Portugal,The Black Mamba,Love Is on My Side,English,Traditional,Male,E Major,66,1,
2021,2,13,17,Bulgaria,Victoria,Growing Up Is Getting Old,English,Ballad,Female,G Major,93,1,
2021,2,14,16,Finland,Blind Channel,Dark Side,English,Rock,Male,G Major,98,1,
2021,2,15,-,Latvia,Samanta Tina,The Moon Is Rising,English,Ballad,Female,Bb Minor,150,0,
2021,2,16,11,Switzerland,Gjon's Tears,Tout l'univers,French,Ballad,Male,A Minor,123,1,
2021,2,17,-,Denmark,Fyr og Flamme,Ove os pa hinanden,Danish,Pop,Male,C Major,124,0,
2021,-,-,23,Netherlands,Jeangu Macrooy,Birth of a New Age,"English,�Sranan Tongo",Ballad,Male,C Minor,95,-,
2021,-,-,13,Spain,Blas Canto,Voy a quedarme,Spanish,Ballad,Male,Eb Major,76,-,
2021,-,-,9,United Kingdom,James Newman,Embers,English,Pop,Male,Fs Major,126,-,
2021,-,-,15,Germany,Jendrik,I Don't Feel Hate,English,Pop,Male,F Minor,114,-,
2021,-,-,20,France,Barbara Pravi,Voila,French,Ballad,Female,D Minor,135,-,
2021,-,-,24,Italy,Maneskin,Zitti e buoni,Italian,Rock,Male,E Minor,103,-,1
2019,1,1,11,Cyprus,Tamta,Replay,English,Dance,Female,B Minor,102,1,
2019,1,2,-,Montenegro,D mol,Heaven,English,Pop,Mix,D Major,92,0,
2019,1,3,-,Finland,Darude feat. Sebastian Rejman,Look Away,English,Dance,Male,B Minor,126,0,
2019,1,4,-,Poland,Tulia,Fire of Love,"Polish, English",Traditional,Female,A Major,96,0,
2019,1,5,10,Slovenia,Zala Kralj & Gasper santl,Sebi,Slovene,Ballad,Mix,G Minor,108,1,
2019,1,6,3,Czech Republic,Lake Malawi,Friend of a Friend,English,Pop,Male,A Minor,106,1,
2019,1,7,-,Hungary,Joci Papai,Az en apam,Hungarian,Ballad,Male,Eb Minor,96,0,
2019,1,8,19,Belarus,ZENA,Like It,English,Dance,Female,G Minor,105,1,
2019,1,9,23,Serbia,Nevena Bozovic,Kruna,Serbian,Ballad,Female,Ab Minor,158,1,
