year,semi_final,semi_draw_position,final_draw_position,country,artist_name,song_name,language,style,gender,key,BPM,qualified_10,Rank
2016,-,-,10,Germany,Jamie-Lee,Ghost,English,Pop,Female,Bb Minor,170,-,
2016,-,-,11,France,Amir,J'ai cherche,"French, English",Pop,Male,-,-,-,
2016,-,-,19,Spain,Barei,Say Yay!,English,Pop,Female,F Minor,125,-,
2016,-,-,25,United Kingdom,Joe and Jake,You're Not Alone,English,Pop,Male,E Major,128,-,
2015,1,1,-,Moldova,Eduard Romanyuta,I Want Your Love,English,Pop,Male,Ab Major,103,0,
2015,1,2,6,Armenia,Genealogy,Face the Shadow,English,Pop,Mix,-,-,1,
2015,1,3,13,Belgium,Loic Nottet,Rhythm Inside,English,Pop,Male,G Major,90,1,
2015,1,4,-,Netherlands,Trijntje Oosterhuis,Walk Along,English,Pop,Female,-,-,0,
2015,1,5,-,Finland,Pertti Kurikan Nimipaivat,Aina mun pitaa,Finnish,Rock,Male,C Major,97,0,
2015,1,6,15,Greece,Maria Elena Kyriakou,One Last Breath,English,Ballad,Female,D Minor,69,1,
2015,1,7,4,Estonia,Elina Born�&�Stig Rasta,Goodbye to Yesterday,English,Pop,Mix,G Minor,138,1,
2015,1,8,-,North Macedonia,Daniel Kajmakoski,Autumn Leaves,English,Pop,Male,C Major,120,0,
2015,1,9,8,Serbia,Bojana Stamenov,Beauty Never Lies,English,Pop,Female,-,-,1,
2015,1,10,22,Hungary,Boggie,Wars for Nothing,English,Pop,Female,D Major,97,1,
2015,1,11,-,Belarus,Uzari�&�Maimuna,Time,English,Pop,Male,G Minor,130,0,
2015,1,12,25,Russia,Polina Gagarina,A Million Voices,English,Pop,Female,G Major,76,1,
2015,1,13,-,Denmark,Anti Social Media,The Way You Are,English,Pop,Male,C Major,125,0,
2015,1,14,26,Albania,Elhaida Dani,I'm Alive,English,Pop,Female,-,-,1,
2015,1,15,20,Romania,Voltaj,De la capat,"Romanian, English",Pop,Male,E Major,98,1,
2015,1,16,23,Georgia,Nina Sublatti,Warrior,English,Pop,Female,F Minor,141,1,
2015,2,1,7,Lithuania,Monika Linkyte�&�Vaidas Baumila,This Time,English,Pop,Mix,Ab Major,131,1,
2015,2,2,-,Ireland,Molly Sterling,Playing with Numbers,English,Ballad,Female,C Major,79,0,
2015,2,3,-,San Marino,Anita Simoncini�&�Michele Perniola,Chain of Lights,English,Pop,Mix,-,-,0,
2015,2,4,16,Montenegro,Knez,Adio,Montenegrin,Traditional,Male,Fs Minor,95,1,
2015,2,5,-,Malta,Amber,Warrior,English,Ballad,Female,-,-,0,
2015,2,6,9,Norway,Morland�&�Debrah Scarlett,A Monster Like Me,English,Ballad,Mix,Db Minor,147,1,
2015,2,7,-,Portugal,Leonor Andrade,Ha um mar que nos separa,Portuguese,Ballad,Female,-,-,0,
2015,2,8,-,Czech Republic,Marta Jandova�&�Vaclav Noid Barta,Hope Never Dies,English,Ballad,Mix,-,-,0,
2015,2,9,3,Israel,Nadav Guedj,Golden Boy,English,Pop,Male,Db Minor,115,1,
2015,2,10,19,Latvia,Aminata,Love Injected,English,Pop,Female,G Minor,144,1,
2015,2,11,24,Azerbaijan,Elnur Huseynov,Hour of the Wolf,English,Ballad,Male,D Major,106,1,
2015,2,12,-,Iceland,Maria Olafs,Unbroken,English,Pop,Female,Ab Major,97,0,
2015,2,13,10,Sweden,Mans Zelmerlow,Heroes,English,Pop,Male,G Major,124,1,1
2015,2,14,-,Switzerland,Melanie Rene,Time to Shine,English,Pop,Female,E Minor,140,0,
2015,2,15,11,Cyprus,John Karayiannis,One Thing I Should Have Done,English,Ballad,Male,Eb Major,90,1,
2015,2,16,1,Slovenia,Maraaya,Here for You,English,Pop,Female,E Minor,158,1,
2015,-,-,12,Australia,Guy Sebastion,Tonight Again,English,Pop,Male,C Minor,106,-,5
2015,2,17,18,Poland,Monika Kuszynska,In the Name of Love,English,Ballad,Female,Db Major,82,1,
2015,-,-,2,France,Lisa Angell,N'oubliez pas,French,Ballad,Female,A Minor,126,-,
2015,-,-,5,United Kingdom,Electro Velvet,Still in Love with You,English,Pop,Mix,C Major,117,-,
2015,-,-,14,Austria,The Makemakes,I Am Yours,English,Ballad,Male,Db Major,83,-,
2015,-,-,17,Germany,Ann Sophie,Black Smoke,English,Pop,Female,Db Major,172,-,
2015,-,-,21,Spain,Edurne,Amanecer,Spanish,Ballad,Female,Eb Minor,127,-,
2015,-,-,27,Italy,Il Volo,Grande amore,Italian,Ballad,Male,Db Major,142,-,
2024,1,1,20,Cyprus,Silia Kapsis,Liar,English,,,,,1,
2024,1,2,16,Serbia,Teya Dora,Ramonda,Serbian,,,,,1,
2024,1,3,7,Lithuania,Silvester Belt,Luktelk,Lithuanian,,,,,1,
2024,1,4,10,Ireland,Bambie Thug,Doomsday Blue,English,,,,,1,
2024,1,5,2,Ukraine,Alyona Alyona and Jerry Heil,Teresa & Maria,"Ukrainian, English",,,,,1,
2024,1,6,,Poland,Luna,The Tower,English,,,,,0,
2024,1,7,23,Croatia,Baby Lasagna,Rim Tim Tagi Dim,English,,,,,1,
2024,1,8,,Iceland,Hera Björk,Scared of Heights,English,,,,,0,
2024,1,9,22,Slovenia,Raiven,Veronika,Slovene,,,,,1,
2024,1,10,17,Finland,Windows95man,No Rules!,English,,,,,1,
2024,1,11,,Moldova,Natalia Barbu,In the Middle,English,,,,,0,
2024,1,12,,Azerbaijan,Fahree feat. Ilkin Dovlatov,Özünlə apar,"English, Azerbaijani",,,,,0,
2024,1,13,,Australia,Electric Fields,One Milkali (One Blood),"English, Yankunytjatjara",Pop,Male,C Minor,112,0,
2024,1,14,18,Portugal,Iolanda,Grito,Portuguese,,,,,1,
2024,1,15,4,Luxembourg,Tali,Fighter,"French, English",,,,,1,
2024,2,1,,Malta,Sarah Bonnici,Loop,English,,,,,0,
2024,2,2,,Albania,Besa,Titan,English,,,,,0,
2024,2,3,12,Greece,Marina Satti,Zari,Greek,,,,,1,
2024,2,4,21,Switzerland,Nemo,The Code,English,Opera,Mix,F Minor,157,1,1
2024,2,5,,Czechia,Aiko,Pedestal,English,,,,,0,
2024,2,6,26,Austria,Kaleen,We Will Rave,English,,,,,1,
2024,2,7,,Denmark,Saba,Sand,English,,,,,0,
2024,2,8,19,Armenia,Ladaniva,Jako,Armenian,,,,,1,
2024,2,9,11,Latvia,Dons,Hollow,English,,,,,1,
2024,2,10,,San Marino,Megara,11:11,Spanish,,,,,0,
2024,2,11,24,Georgia,Nutsa Buzaladze,Firefighter,English,,,,,1,
2024,2,12,,Belgium,Mustii,Before the Party's Over,English,,,,,0,
2024,2,13,9,Estonia,5miinust and Puuluup,(Nendest) narkootikumidest ei tea me (küll) midagi,Estonian,,,,,1,
2024,2,14,6,Israel,Eden Golan,Hurricane,"English, Hebrew",,,,,1,
2024,2,15,14,Norway,Gåte,Ulveham,Norwegian,,,,,1,
2024,2,16,5,Netherlands,Joost Klein,Europapa,Dutch,,,,,1,
2024,,,1,Sweden,Marcus & Martinus,Unforgettable,English,,,,,1,
2024,,,3,Germany,Isaak,Always on the Run,English,,,,,1,
2024,,,8,Spain,Nebulossa,Zorra,Spanish,,,,,1,
2024,,,13,United Kingdom,Olly Alexander,Dizzy,English,,,,,1,
2024,,,15,Italy,Angelina Mango,La noia,Italian,,,,,1,
2024,,,25,France,Slimane,Mon amour,French,,,,,1,
2025,1,1,10,Iceland,Væb,Róa,Icelandic,,,,,1,
2025,1,2,15,Poland,Justyna Steczkowska,Gaja,"Polish, English",,,,,1,
2025,1,3,,Slovenia,Klemen,How Much Time Do We Have Left,English,,,,,0,
2025,1,4,3,Estonia,Tommy Cash,Espresso Macchiato,"Italian, English",,,,,1,
2025,1,5,7,Ukraine,Ziferblat,Bird of Pray,"Ukrainian, English",,,,,1,
2025,1,6,23,Sweden,KAJ,Bara bada bastu,"Swedish, Finnish",,,,,1,
2025,1,7,21,Portugal,Napa,Deslocado,Portuguese,,,,,1,
2025,1,8,1,Norway,Kyle Alessandro,Lighter,English,,,,,1,
2025,1,9,,Belgium,Red Sebastian,Strobe Lights,English,,,,,0,
2025,1,10,,Azerbaijan,Mamagama,Run with U,English,,,,,0,
2025,1,11,25,San Marino,Gabry Ponte,Tutta l'Italia,Italian,,,,,1,
2025,1,12,26,Albania,Shkodra Elektronike,Zjerm,Albanian,,,,,1,
2025,1,13,12,Netherlands,Claude,C'est la vie,"French, English",,,,,1,
2025,1,14,,Croatia,Marko Bošnjak,Poison Cake,English,,,,,0,
2025,1,15,,Cyprus,Theo Evan,Shh,English,,,,,0,
2025,2,1,,Australia,Go-Jo,Milkshake Man,English,Pop,Male,F Minor,112,0,
2025,2,2,,Montenegro,Nina Žižić,Dobrodošli,Montenegrin,,,,,0,
2025,2,3,,Ireland,Emmy,Laika Party,English,,,,,0,
2025,2,4,11,Latvia,Tautumeitas,Bur man laimi,Latvian,,,,,1,
2025,2,5,18,Armenia,Parg,Survivor,"English, Armenian",,,,,1,
2025,2,6,9,Austria,JJ,Wasted Love,English,Opera,Male,Cs Minor,81,1,1
2025,2,7,17,Greece,Klavdia,Asteromata,Greek,,,,,1,
2025,2,8,5,Lithuania,Katarsis,Tavo akys,Lithuanian,,,,,1,
2025,2,9,20,Malta,Miriana Conte,Serving,English,,,,,1,
2025,2,10,,Georgia,Mariam Shengelia,Freedom,"Georgian, English",,,,,0,
2025,2,11,22,Denmark,Sissal,Hallucination,English,,,,,1,
2025,2,12,,Czechia,Adonxs,Kiss Kiss Goodbye,English,,,,,0,
2025,2,13,2,Luxembourg,Laura Thorn,La poupée monte le son,French,,,,,1,
2025,2,14,4,Israel,Yuval Raphael,New Day Will Rise,"English, French, Hebrew",,,,,1,
2025,2,15,,Serbia,Princ,Mila,Serbian,,,,,0,
2025,2,16,13,Finland,Erika Vikman,Ich komme,"Finnish, German",,,,,1,
2025,,,6,Spain,Melody,Esa diva,Spanish,,,,,,
2025,,,8,United Kingdom,Remember Monday,What the Hell Just Happened?,English,,,,,,
2025,,,14,Italy,Lucio Corsi,Volevo essere un duro,Italian,,,,,,
2025,,,16,Germany,Abor & Tynna,Baller,German,,,,,,
2025,,,19,Switzerland,Zoë Më,Voyage,French,,,,,,
2025,,,24,France,Louane,Maman,French,,,,,,
2026,1,1,16,Moldova,Satoshi,Viva Moldova!,Romanian,,,,,1,
2026,1,2,20,Sweden,Felicia,My System,English,,,,,1,
2026,1,3,13,Croatia,Lelek,Andromeda,Croatian,,,,,1,
2026,1,4,6,Greece,Akylas,Ferto,Greek,,,,,1,
2026,1,5,,Portugal,Bandidos do Cante,Rosa,Portuguese,,,,,0,
2026,1,6,,Georgia,Bizikebi,On Replay,English,,,,,0,
2026,1,7,17,Finland,Linda Lampenius and Pete Parkkonen,Liekinheitin,Finnish,,,,,1,
2026,1,8,,Montenegro,Tamara Živković,Nova zora,Montenegrin,,,,,0,
2026,1,9,,Estonia,Vanilla Ninja,Too Epic to Be True,English,,,,,0,
2026,1,10,3,Israel,Noam Bettan,Michelle,"French, Hebrew, English",,,,,1,
2026,1,11,4,Belgium,Essyla,Dancing on the Ice,English,,,,,1,
2026,1,12,19,Lithuania,Lion Ceccah,Sólo quiero más,"Lithuanian, English",,,,,1,
2026,1,13,,San Marino,Senhit,Superstar,English,,,,,0,
2026,1,14,18,Poland,Alicja,Pray,English,,,,,1,
2026,1,15,9,Serbia,Lavina,Kraj mene,Serbian,,,,,1,
2026,2,1,12,Bulgaria,Dara,Bangaranga,English,Pop,Female,F Minor,136,1,1
2026,2,2,,Azerbaijan,Jiva,Just Go,"English, Azerbaijani",,,,,0,
2026,2,3,24,Romania,Alexandra Căpitănescu,Choke Me,English,,,,,1,
2026,2,4,,Luxembourg,Eva Marija,Mother Nature,English,,,,,0,
2026,2,5,11,Czechia,Daniel Zizka,Crossroads,English,,,,,1,
2026,2,6,,Armenia,Simón,Paloma Rumba,English,,,,,0,
2026,2,7,,Switzerland,Veronica Fusaro,Alice,English,,,,,0,
2026,2,8,21,Cyprus,Antigoni,Jalla,"English, Greek",,,,,1,
2026,2,9,,Latvia,Atvara,Ēnā,Latvian,,,,,0,
2026,2,10,1,Denmark,Søren Torpegaard Lund,Før vi går hjem,Danish,,,,,1,
2026,2,11,8,Australia,Delta Goodrem,Eclipse,English,Pop,Female,D Minor,134,1,4
2026,2,12,7,Ukraine,Leleka,Ridnym,"English, Ukrainian",,,,,1,
2026,2,13,5,Albania,Alis,Nân,Albanian,,,,,1,
2026,2,14,10,Malta,Aidan,Bella,"English, Maltese",,,,,1,
2026,2,15,14,Norway,Jonas Lovv,Ya Ya Ya,English,,,,,1,
2026,,,2,Germany,Sarah Engels,Fire,English,,,,,1,
2026,,,14,United Kingdom,Look Mum No Computer,"Eins, Zwei, Drei",English,,,,,1,
2026,,,15,France,Monroe,Regarde!,French,,,,,1,
2026,,,22,Italy,Sal Da Vinci,Per sempre sì,Italian,,,,,1,
2026,,,25,Austria,Cosmó,Tanzschein,German,,,,,1,
